Review,Varietal
"Deep color, fresh cut flowers on the nose alongside a bit of green tea, raspberries, blueberries, a touch of plum, and a good tannic structure to support all of this. The wine's depth shows even more on the palate; give it 30-45 min of air and watch the magic happen. Truly a unique and beautiful wine.
",Cabernet Franc
"The wines of Pierre Jacques Druet are difficult to find but worth the hunt.  The 2009 Chinon is earthy with notes of cedar and freshly cut fern.  It has the most structure out of the line up I tasted and has enough backbone to keep it cellared for a few more years.   There's a generous amount of red fruit and a lively quality to the wine as a whole.  An interesting, complex wine to snag at an unbelievable price.
",Cabernet Franc
"This is absolute INSANITY! These Druet wines are all ultra heady and complex, but the 2009 is truly a special wine. It's still a tiny little baby, but there's already so much life and depth. It's cleanest of the multi-vintage line-up showing the most fruit on the nose. The palate is still lively, taught and full of deep earth notes, but it's not as austere as the others. Tons of structure and tannin mean that this one is designed for the long haul. Easily one of the best values in the store and the perfect way to move from some of the bolder richer wines to the Southwest into the Loire valley.
",Cabernet Franc
"2015 Domaine des Ruettes Saumur-Champigny Rouge comes from 30 year old vines grown on clay, flint and calcareous tufa. Aged 12 months in French oak barrels (of which 25% new) it’s more robust, structured, has firm tannins and bright acidity, with earthy components. Flint soil gives it a touch of smoky notes. It’s full-bodied and rich in plum and black cassis with spicy finish. It can age nicely for another 5-7 years.
",Cabernet Franc
"This is great expression of young Cabernet Franc. It’s fruit-forward cherry-scented with touch of black peppercorns. Thanks to great conditions of 2015 vintage this wine has lovely concentration of black currants and sweet Bing cherries with low tannins and just a touch of minerality.
",Cabernet Franc
"If you like red wine with crunchy fruit, low tannin and great acidity for your mid-week meals, the Expression Saint Nicolas De Bourgueil from Joel Taluau should be at the top of your list to try. These wines go so well with simple grilled fair or even picnic food. The 2015 vintage ripeness has made this into a real crowd pleasing choice!
",Cabernet Franc
"Earthy and green with all the herbaceousness I love from Cab Franc, the 2015 L’Expression shows surprisingly rich fruit through the palate, especially for typically lighter-bodied Bourgueil, and a softer finish, with hints of violet and pepper throughout. Another lovely, interesting Taluau release at a great price.
",Cabernet Franc
"This  is a wonderful red wine with a beautiful, expressive and inviting nose. In the mouth it is lively with nice red fruit flavors that are balance out with a crisp finish. It is medium bodied with just the right amount of fruit and mineral notes. The La source Du Ruault  will go best with food.
",Cabernet Franc
"This represents all that is good and delicious about the wines of the region. Planted in the sandy and gravelly soils over the tuffeau, this powerhouse Cabernet Franc is rich, representing the depth of fruit from the 2015 vintage, but it is also full of finesse. The tannins are quite fine and the finish is long on black fruit, cedary spice and black pepper.
",Cabernet Franc
"What a standout Cabernet Franc from Anjou!  The 2015 Domaine Du Petit Clocher is supple and smooth with soft acidity and low tannin.  This is an extremely friendly wine filled with notes of wild blueberry, black plums and ripe strawberry.  It has a stony minerality and a slight woody floral note.  It's fresh and meant to be drunk young.  This wine is super easygoing and perfect to have around the house to open with a wide variety of dishes from veggie-based to poultry to steak.
",Cabernet Franc
"2015 Domaine du Petit Clocher Anjou Rouge is an amazing value and quite a gem.  This wine made entirely in stainless steel which helps to retain impeccable freshness and minerality that comes from vines grown on predominantly schist soil. It’s full of delicious berry pie notes: mix of blackberry, raspberry and blueberry. Supple, fresh, smooth and gentle, with low tannins, soft acidity, but bright and light texture it’s an incredibly elegant style of Cabernet Franc.
",Cabernet Franc
"The 2004 “Le Clos les Pins” was brimming with notes of tobacco, leather and spices. The fruit has mellowed but is ever-present, showing the classic style of the sandy and gravelly soils. This still has a long way to go.
",Cabernet Franc
"This earthy Bourgueil is rustic and Bistro ready, with all the characteristics of a classic Cabernet Franc from the region. Savory accords of allspice, umami and green olive give way to a smoky yet light palate with a complexity that only comes with age. Take it to dinner, or pair it with your own attempts at French cuisine!
",Cabernet Franc
"We’ve been working with Domaine les Pins in Bourgueil for several years now and the wines continually over-deliver for the money. On our recent visit, vignerons Philippe and Christophe Pitault-Landry were kind enough to dig some older bottles out of the cellar to show us how the wines evolve. I immediately homed in on their two 2004s—the Les Clos des Pins and Vieilles Vignes. After a little negotiating we were able to convince them to sell us a small parcel of each. The 2004 “Vieilles Vignes” Bourgueil was remarkably persistent on the palate, showing flavors of strawberries, clove and truffle nuances. It is still quite powerful in the mouth and loaded with body and texture. This could easily withstand another decade of evolution. Both are tremendous successes and demonstrate the ageability of Cabernet Franc, even from a modestly priced producer such as this.
",Cabernet Franc
"This represents all that is good and delicious about the wines of the region. Planted in the sandy and gravelly soils over the tuffeau, this powerhouse Cabernet Franc is rich, representing the depth of fruit from the 2015 vintage, but it is also full of finesse. The tannins are quite fine and the finish is long on black fruit, cedary spice and black pepper.
",Cabernet Franc
"Gorgeous stewed red cherry, hints of leather and earth with great minerality, medium plus acidity and fine, well-integrated tannin. At $26.99, this is a crazy steal- we bought directly from the property! A must for Thanksgiving!
",Cabernet Franc
"This is a lovely, mature bottle of wine that still has plenty of vivacious refreshment left in it! Cinnamon and I had it last night with French onion soup, and this light bodied, aromatic red was perfect for the bistro fare. The 1995 Joel Taluau is classic St Nicolas De Bourgueil with plenty of green olive and herbs on the nose and great almost carnation-like earthiness in the mouth. The tannin is completely resolved, and the wine finishes fresh!
",Cabernet Franc
"I tried this recently at one of our staff tastings and I was blown away!  I always know I really like a wine when I review my notes and there are stars, plenty of exclamation points and lots of underlined words like, ""wow"" scattered about.  This wine has an incredibly aromatic nose, so much so that I wrote about it TWO different times in the margins of my notes.  2016 was a very promising vintage for Pinot Noir, which provided ripeness and concentration of aromas.  There's ripe strawberry, red cherries, candied red apples and rose.  It's balanced and has nice soft, velvety tannin and medium acidity.  I could honestly just drink this by itself and it would make a great hang out/cocktail wine, but if you're looking to pair with food it would be great with salmon, roast chicken, or even a pesto based pasta dish.    If you're ordering in this would be great with pizza or Chinese food!
",Cabernet Franc
"A sensei is a teacher (Jean-Noël practices martial arts in his spare time) and there is no better wine to teach you about the quality of Saumur fruit. More strikingly powerful, this is parcel-selected fruit that sees some time in barrel, giving it a long-lingering quality that will persist for years to come.
",Cabernet Franc
"One of the more generous offerings from Leeuwin within the string of great vintages Margaret River has enjoyed over the last decade. Sappy dark red fruits, sweet tobacco notes, exotic French oak tones. Though Suckling called this property the Mouton Rothschild of Australia last year, I might suggest this vintage is more like the Opus One of Australia! A little more dark, sweet fruit than I'm accustomed to in this bottling. A broad, dense, exotic mid-palate, plum, cassis, blackcurrant preserve. Some subtle cedar and mint notes linger reminding you this is still Margaret River Cabernet but certainly a more expansive, decadent expression of place this year without losing the structure and balance that has made this wine so legendary.
",Cabernet Sauvignon and Blends
"This wine is consistently great, there is a reason Leeuwin has the reputation that they do. This is the boldest, richest wine that I have had from them.  It still has that classic red fruit but it is heavier and darker, it is almost dank, in the best possible way.  The fruit is accentuated with a savory earthy, spice notes, you cannot keep yourself from going back to nose it again and again.  The heaviness of the nose is not echoed on the palate.  It is full and intense but structured and delineated.  Rich, complex, great fruit foiled by savory complexity, bold but not heavy.  This is great Cab from a Great producer and the best thing about it is drinking great now.  That was a lot of greats, and it deserves every one of them.
",Cabernet Sauvignon and Blends
"I reviewed the 2012 vintage of this wine nearly a year ago and my adoration of the property has only magnified since then.  A perennial over-achiever, this gem has the chops to withstand a few decades of cellaring and at the price-point, there isn't much to compare it to.  This beauty shows classic Margaret River structure and notes of dried herbs, menthol and dark fruits.   There's a very good reason Robert Mondavi was mulling over the notion of purchasing the estate back in the '70s - as it  produces world-class wines with each passing vintage.  This one is a no-brainer.  Drink now and over the next twenty years.
",Cabernet Sauvignon and Blends
"Leeuwin Estates is one of Margret River’s founding wineries, and the grapes classified by the winemaker as “Art Series” worthy are only selected from the pinnacle of the estate fruit.  The sandy, loamy soils of these vineyards force the vine roots down into the fractured granite below insuring vine stress and true mineral expressions.  This terroir can only produce profound wines when paired with persistent cold winds like the ones howling off the Indian Ocean through these same Leeuwin vineyards.  The 2013 Art Series Cab greets you with boysenberry, blueberry, and eucalyptus that is decorated with the clear aromas of broken rock and thin, dusty soils.  Secondary notes of twiggy bay leaf, raspberry, and coffee percolate as you return for sniff after revealing sniff.  The palate is well structured with mid-weight tannins and an even presence through the mid palate and the ample finish.  Beautiful on its own, but I can see this wine being even more enjoyable as a partner with a meal and several glasses!
",Cabernet Sauvignon and Blends
"I've been advising as many Cabernet drinkers as possible to start seriously exploring the expressions emanating from South America, particularly Argentina and Chile. The quality has gone way, way up over the last decade, but the prices have remained way, way low. Case in point is this new Reserve Cabernet from Chateau Los Boldos, a property established in 1991, but working with vines planted in the late 1940s. The reinvestment in those vineyards is realized today in the 2015 edition, one that offers classic Cabernet flavors with an eye towards the Bordeaux style. There's plenty of fruit, but also tobacco and earth, herbaceous notes, and a mineral streak on the finish that speaks to the complexity of the grape, rather than just ripeness and new oak. You get all that for well under $20. Hence, keep your eyes on South America.
",Cabernet Sauvignon and Blends
"A charming bright Cabernet nose with lifted red berries and a wisp of leather and earth. It is medium bodied with slightly darker fruits than the nose would suggest. It has sneaky tannins that are polished and is lightly oaked.  This is an everyday cab that is not simple and very charming.
",Cabernet Sauvignon and Blends
"The nose is full of green olive, barrel spice and cassis, it gives one the sense of a powerful statement. On the palate I was surprised by the wines' balance, it has richness but excellent lift and focus with just a hint of tannins. The finish is classic Cabernet leaving a lasting flavor reemphasizing the cassis and barrel spice, quite a Chilean value.
",Cabernet Sauvignon and Blends
"I love this wine! It has everything I look for: depth, precision, balance, complexity and most importantly it tastes really good. Chile is one of the many regions around the world where you get great bang for your buck and the 2015 Chateau Los Boldos Cabernet Sauvignon is a perfect example. A suave nose of mint, earth and dried herbs deftly gives way to a palate that just oozes gorgeous dark berry fruit, spice, subtle mocha notes and a touch of earth and herbs. This is a wonderful, food friendly Cabernet Sauvignon that totally over delivers given its modest price.
",Cabernet Sauvignon and Blends
"Holy cow!(See what I did there) just in time for Holiday season the Jax Y3 blend is back and it is even better than I was expecting. I really enjoyed the 2014 and 2013 bottlings from our friends at Jax but this is the best one I have tasted. Beautiful cherry and spice on the nose lead to a silky, seamless palate. The wine has a lushness that never falls into jam and coats the mouth with very soft fully integrated tannins. What is so spectacular about this bottling though is the balance and freshness it delivers even as the warm red fruits are at the front of this wine. This wine is not overly rich and definitely not flabby, there is a sophistication and balance not often found in red blends at this price point here in California. A perfect bottle to have around for this time of year.
",Cabernet Sauvignon and Blends
"If I owned my own California bistro, I know what my table wine would be year in and year out: the Jax Y3 Taureau. It's been one of the work horse reds of the domestic department here for the last three years and I've yet to have a bottle that didn't get the job done. A blend of 50% Merlot, 25% Cabernet Sauvignon, with the rest being Zin and Syrah, this is the PERFECT California red table wine that offers down-to-earth drinkability with a boutique level of detail and attention to care. It's a fleshy, fruit-forward wine, but it has acidity and character. It's balanced and it tastes like a more sophisticated wine than the price point would have you believe. It tastes good with everything, but is particularly suited to meats and heartier dishes, and it's so darn affordable. I love the Jackson family as well, a local member of our community, so like I said earlier: if I had my own restaurant, this would be the backbone of my menu.
",Cabernet Sauvignon and Blends
"Where's the love … I always overlook this Cabernet.   Always looking for the new, best, Napa red!  We opened this the other day and much to our surprise, we discovered it to be a classic –a truly balanced Napa Cabernet!  It certainly was more than approachable with the big 2014 fruit up front, alluring  blackberry jam, cocoa powder and integrated oak on the nose.  It has that great depth which lingers with the richness of black fruit.  Why not tempt yourself with that elegant, velvet juciness, melting into polished tannins, with a delightfully long finish. I was so glad to have the opportunity to try this wine!  With so many choices out there, I will not overlook this one anymore.
",Cabernet Sauvignon and Blends
"I have always enjoyed the Louis Martini Sonoma Cabernet. Year after year it is possibly be the best value in California Cabernet. The step up in price for the Napa is about double but the quality is way more than that. This is a seriously delicious, rich, dense yet supple Cabernet that surprises the palate with a fleshy, toasty mouthfeel and long, lingering finish. I find the tannins silky and ripe, even with this vintage. I would have no problem enjoying this bottle now with a bit of air.
",Cabernet Sauvignon and Blends
"For those who like ripeness without the jamminess, the 2014 Louis Martini Napa Valley is the perfect example of achieving phenolic ripeness without extracted, overwrought fruit. There is full ripeness without sacrificing acidity which allows the dark, purple fruit in this Napa Valley Cab to show through without overpowering and tiring out the palate.
",Cabernet Sauvignon and Blends
"Having been born and raised in Northern CA my introduction into wine was of course centered around Napa and Sonoma Valley reds. As much as I LOVE our Cabs and other varietals, and though there will always be a time and place for them, wines like these exist for people like me to enjoy on a daily basis. This is a fantastic expression of the varietal hitting all the right notes and senses. A case of this in my house never seems to be enough...
",Cabernet Sauvignon and Blends
"This is a wonderful, classic and expressive Cabernet Sauvignon for a very reasonable price. It is soft and ready, with round dark fruit flavors that help make this wine a pleasure to drink. The Hussonet drinks well alone or will go well with hearty foods.
",Cabernet Sauvignon and Blends
"Here is a fantastic follow up to the 2011 version of this overachiever and an amazing value.  Once again this is a wine of balance with the sweet blackberry and currant fruit  tempered by the fine tannins and fresh acidity. The husky aromatics give way to a firm , rich and earthy middle  laced with savory herb and tobacco.   The Antinori pedigree is obvious in the long, dry and detailed finish.
",Cabernet Sauvignon and Blends
"While the 2011 is a tough act to follow, this 2012 absolutely brings it; actually I find the 2012 to be far better. This vintage shows a fruit quality that is more penetrating, with greater volume, persistence and length on the palate than the comparably softer 2011. Tannins, fruit and acidity are impeccably balanced, and in fact I would be hard pressed to find a Cab that is this well put together for $15-18, let alone one that comes close to this at $10. Bold statement, I know, but this Cabernet is a category killer!  This would make as nice a pairing with grilled skirt steaks this summer as it would with low oven heat, high flame pan finished rib eyes 3-4 years from now. Real Cab for a real value price. Load up.
",Cabernet Sauvignon and Blends
"Oddly enough about a week ago I had a customer mention that we had carried an excellent Cab that was really well priced from South America and that they wanted to get another case, I told them it was the Hussonet and unfortunately we had been sold out of it for a while and no I did not know if it would ever be back. Then yesterday Joe's ears must have been ringing because he said he had the new vintage of Hussonet to taste. That is correct, Hussonet is back! The year it has all of the same qualities that people loved in 2011 but with a little more structure and length. Leafy notes of tomato lay alongside the plum and berry notes. This is not a big juicy bomb, this is a cab that exudes structure and green notes to match the ripe fruit and is finished with silky tannins. Best of all we get to keep the $10 price tag.
",Cabernet Sauvignon and Blends
"Another fantastic bottling from Opus One. I had the pleasure of trying the 2014 vintage at our Grand Domestic tasting this past Saturday. This was easily the dark horse winner of the ten wines we featured. Classic bouquet of black currant, plum, and dark cherry with subtler expressions of earth and graphite. The palate is where this wine really shines. Flavors of black currant are expressed once more, along with blackberry, savory qualities, clove, vanilla bean, and a touch of espresso. The tannins are silky and velvety; a luxurious mouthfeel all throughout. Decanting this wine will do wonders. Drinkable now; I would recommend holding for at least five more years. Will age gracefully for 20+ years
",Cabernet Sauvignon and Blends
"A sustainably produced Napa Cab from a top producer that's under $55?  Believe it!  The ""Signature"" from Chappellet is just what you'd expect with inky, juicy, rich black fruit.  You get a crushed rock mineral note and a little toasted vanilla from the barrel, which comes across as subtle instead of the dominant note.  It's lush but balanced.  The structure is there, but no one part feels out of whack.  The tannin is big and ripe but feels velvety on the palate.  The acidity is vibrant and gives the wine a freshness.  The quality in fruit and wine making is apparent.  This is a superb bottle of wine and one any lover of California Cabernet should try.
",Cabernet Sauvignon and Blends
"This wine possesses power, concentration and refinement that would not be out of place in a $500 bottling from one of Chappellet's neighbors. The 2015 Signature, comprised of exclusively Pritchard Hill estate fruit, might be one of the best deals ever in modern Napa Cabernet. Bold, brassy saturated fruit, cassis, red and black currant, plum conserve, graphite, charred oak, cigar box and exotic spice. A rich, decadent mid-palate is balanced by classic varietal tannin and acidity that gives vitality and freshness to a concentrated and complex wine. Generosity of fruit to drink now but the stuffing to last a couple decades in the cellar. This is the real deal in Napa Cab.
",Cabernet Sauvignon and Blends
"This rich, flashy, dark Cabernet has all of the toasty oak and dark currant fruit to impress on the very first sip. It also has real Cabernet structure underneath with real power for your next big steak meal. If you like big cab, this is a great choice. Fire up the grill, put on some big ribeyes and enjoy this very good Cabernet!
",Cabernet Sauvignon and Blends
"The search for amazing values in Napa Valley Cabernets has become an arduous task.  With so many people jumping into the lucrative game to cash in on skyrocketing prices, buyers can end up wasting a lot of dollars on subpar efforts.   Chappellet represents the opposite.  Winemaker Phillip Corallo and viticulturalist David Pro have been working together for over 25 years, and the quality of the wine they make is remarkable.  It shows deep, rich flavors of red currants, pepper, mocha, roses and cigar tobacco with velvety tannins and great acid for aging.  The balance and integration are superb, and at prices that make it a comparative steal.   This is what California wine is about.
",Cabernet Sauvignon and Blends
"Based on the reviews of my colleagues and Clyde himself, I had to get my hands on this wine. And instead of buying a single bottle first, I jumped right in and bought a case. I'm sure glad I did! This wine hits all the right Bordeaux tasting notes offering great balance between fruit and earthiness, acidity and tannins, making it a very approachable, every day wine for food pairing or pleasurable sipping.
",Cabernet Sauvignon and Blends
"$10.99 are you out of your mind? The 2014 and 2015 sold out quickly-this will also. Another of our finds on the 2017 Bordeaux trip. Spicy, jammy, vibrant red-just like most of the 2016s. Lively and sweet with red berry flavors. A must buy. Toasty oak for $11?
",Cabernet Sauvignon and Blends
"I was very impressed with the seriousness of the wine at this price range. Plum notes with a soft but nicely framed core and beautiful woodsy notes,
",Cabernet Sauvignon and Blends
"This early release 2016 is filled with ripe and creamy cocoa infused cherry fruit in a smooth and enjoyable style.  This is fresh, lifted and ample for easy quaffing.
",Cabernet Sauvignon and Blends
"The Bordeaux region is flexing its value wine-producing muscles with this gem that is absolutely delicious and only $10.99.  It has a complex and tasty flavor profile with notes of smoky game, herbs, red fruit and licorice with a great balancing acid and nice earthy spice on the finish.  This would make for a great house wine and can proudly be shared with guests.
",Cabernet Sauvignon and Blends
"Big, robust, jammy and fruit forward. If you love Cab that matches Robert Parker's palate, this may be the wine for you.  From the makers of Troublemaker, here's another wine you can definitely get into trouble with, as it is very easy drinking and approachable. Paso Robles is proving once again that it's an American Viticulture Area that stands on it own.
",Cabernet Sauvignon and Blends
